t,KE,vx
0.004167,4.97918777e+01,9.97916603e+00
0.008333,4.95846252e+01,9.95837593e+00
0.012500,4.93782310e+01,9.93762875e+00
0.016667,4.91727066e+01,9.91692543e+00
0.020833,4.89680290e+01,9.89626503e+00
0.025000,4.87642059e+01,9.87564754e+00
0.029167,4.85612335e+01,9.85507298e+00
0.033333,4.83591003e+01,9.83454132e+00
0.037500,4.81578140e+01,9.81405258e+00
0.041667,4.79573669e+01,9.79360676e+00
0.045833,4.77577477e+01,9.77320290e+00
0.050000,4.75589638e+01,9.75284195e+00
0.054167,4.73610001e+01,9.73252296e+00
0.058333,4.71638718e+01,9.71224689e+00
0.062500,4.69675560e+01,9.69201279e+00
0.066667,4.67720566e+01,9.67182064e+00
0.070833,4.65773697e+01,9.65167046e+00
0.075000,4.63834953e+01,9.63156223e+00
0.079167,4.61904259e+01,9.61149597e+00
0.083333,4.59981651e+01,9.59147167e+00
0.087500,4.58067055e+01,9.57148933e+00
0.091667,4.56160355e+01,9.55154800e+00
0.095833,4.54261627e+01,9.53164864e+00
0.100000,4.52370872e+01,9.51179123e+00
0.104167,4.50487938e+01,9.49197483e+00
0.108333,4.48612823e+01,9.47219944e+00
0.112500,4.46745491e+01,9.45246506e+00
0.116667,4.44885902e+01,9.43277168e+00
0.120833,4.43034172e+01,9.41312027e+00
0.125000,4.41190033e+01,9.39350891e+00
0.129167,4.39353638e+01,9.37393856e+00
0.133333,4.37524872e+01,9.35440922e+00
0.137500,4.35703735e+01,9.33492088e+00
0.141667,4.33890152e+01,9.31547260e+00
0.145833,4.32084160e+01,9.29606533e+00
0.150000,4.30285645e+01,9.27669811e+00
0.154167,4.28494568e+01,9.25737095e+00
0.158333,4.26711044e+01,9.23808479e+00
0.162500,4.24934921e+01,9.21883869e+00
0.166667,4.23166199e+01,9.19963264e+00
0.170833,4.21404839e+01,9.18046665e+00
0.175000,4.19650803e+01,9.16134071e+00
0.179167,4.17904015e+01,9.14225388e+00
0.183333,4.16164551e+01,9.12320709e+00
0.187500,4.14432335e+01,9.10420036e+00
0.191667,4.12707253e+01,9.08523273e+00
0.195833,4.10989456e+01,9.06630516e+00
0.200000,4.09278755e+01,9.04741669e+00
0.204167,4.07575150e+01,9.02856731e+00
0.208333,4.05878677e+01,9.00975800e+00
0.212500,4.04189301e+01,8.99098778e+00
0.216667,4.02506943e+01,8.97225666e+00
0.220833,4.00831604e+01,8.95356464e+00
0.225000,3.99163170e+01,8.93491077e+00
0.229167,3.97501678e+01,8.91629601e+00
