t,KE,PE,E_total,py,pz
0.004167,8.35382903e-04,9.80998413e+02,9.80999268e+02,-4.08750027e-02,0.00000000e+00
0.008333,3.34153161e-03,9.80995056e+02,9.80998413e+02,-8.17500055e-02,0.00000000e+00
0.012500,7.51844654e-03,9.80989990e+02,9.80997498e+02,-1.22625008e-01,0.00000000e+00
0.016667,1.33661265e-02,9.80983337e+02,9.80996704e+02,-1.63500011e-01,0.00000000e+00
0.020833,2.08845735e-02,9.80974976e+02,9.80995850e+02,-2.04375014e-01,0.00000000e+00
0.025000,3.00737862e-02,9.80964966e+02,9.80995056e+02,-2.45250016e-01,0.00000000e+00
0.029167,4.09337580e-02,9.80953247e+02,9.80994202e+02,-2.86125004e-01,0.00000000e+00
0.033333,5.34645058e-02,9.80939880e+02,9.80993347e+02,-3.27000022e-01,0.00000000e+00
0.037500,6.76660240e-02,9.80924805e+02,9.80992493e+02,-3.67875040e-01,0.00000000e+00
0.041667,8.35383013e-02,9.80908142e+02,9.80991699e+02,-4.08750057e-01,0.00000000e+00
0.045833,1.01081356e-01,9.80889709e+02,9.80990784e+02,-4.49625075e-01,0.00000000e+00
0.050000,1.20295167e-01,9.80869690e+02,9.80989990e+02,-4.90500093e-01,0.00000000e+00
0.054167,1.41179755e-01,9.80847961e+02,9.80989136e+02,-5.31375110e-01,0.00000000e+00
0.058333,1.63735107e-01,9.80824524e+02,9.80988281e+02,-5.72250128e-01,0.00000000e+00
0.062500,1.87961221e-01,9.80799438e+02,9.80987427e+02,-6.13125145e-01,0.00000000e+00
0.066667,2.13858113e-01,9.80772766e+02,9.80986633e+02,-6.54000163e-01,0.00000000e+00
0.070833,2.41425753e-01,9.80744385e+02,9.80985840e+02,-6.94875181e-01,0.00000000e+00
0.075000,2.70664185e-01,9.80714294e+02,9.80984985e+02,-7.35750198e-01,0.00000000e+00
0.079167,3.01573366e-01,9.80682556e+02,9.80984131e+02,-7.76625216e-01,0.00000000e+00
0.083333,3.34153324e-01,9.80649170e+02,9.80983337e+02,-8.17500234e-01,0.00000000e+00
0.087500,3.68404031e-01,9.80614075e+02,9.80982483e+02,-8.58375251e-01,0.00000000e+00
0.091667,4.04325515e-01,9.80577332e+02,9.80981628e+02,-8.99250269e-01,0.00000000e+00
0.095833,4.41917777e-01,9.80538940e+02,9.80980835e+02,-9.40125287e-01,0.00000000e+00
0.100000,4.81180787e-01,9.80498779e+02,9.80979980e+02,-9.81000304e-01,0.00000000e+00
0.104167,5.22114515e-01,9.80457031e+02,9.80979126e+02,-1.02187526e+00,0.00000000e+00
0.108333,5.64719021e-01,9.80413635e+02,9.80978333e+02,-1.06275022e+00,0.00000000e+00
0.112500,6.08994246e-01,9.80368530e+02,9.80977539e+02,-1.10362518e+00,0.00000000e+00
0.116667,6.54940307e-01,9.80321716e+02,9.80976685e+02,-1.14450014e+00,0.00000000e+00
0.120833,7.02557087e-01,9.80273315e+02,9.80975891e+02,-1.18537509e+00,0.00000000e+00
0.125000,7.51844585e-01,9.80223145e+02,9.80974976e+02,-1.22625005e+00,0.00000000e+00
0.129167,8.02802920e-01,9.80171387e+02,9.80974182e+02,-1.26712501e+00,0.00000000e+00
0.133333,8.55431974e-01,9.80117920e+02,9.80973328e+02,-1.30799997e+00,0.00000000e+00
0.137500,9.09731805e-01,9.80062744e+02,9.80972473e+02,-1.34887493e+00,0.00000000e+00
0.141667,9.65702355e-01,9.80005981e+02,9.80971680e+02,-1.38974988e+00,0.00000000e+00
0.145833,1.02334368e+00,9.79947510e+02,9.80970825e+02,-1.43062484e+00,0.00000000e+00
0.150000,1.08265579e+00,9.79887329e+02,9.80969971e+02,-1.47149980e+00,0.00000000e+00
0.154167,1.14363873e+00,9.79825500e+02,9.80969116e+02,-1.51237476e+00,0.00000000e+00
0.158333,1.20629239e+00,9.79762024e+02,9.80968323e+02,-1.55324972e+00,0.00000000e+00
0.162500,1.27061677e+00,9.79696838e+02,9.80967468e+02,-1.59412467e+00,0.00000000e+00
0.166667,1.33661187e+00,9.79630005e+02,9.80966614e+02,-1.63499963e+00,0.00000000e+00
0.170833,1.40427780e+00,9.79561523e+02,9.80965820e+02,-1.67587459e+00,0.00000000e+00
0.175000,1.47361445e+00,9.79491333e+02,9.80964966e+02,-1.71674955e+00,0.00000000e+00
0.179167,1.54462194e+00,9.79419495e+02,9.80964111e+02,-1.75762451e+00,0.00000000e+00
0.183333,1.61730015e+00,9.79346008e+02,9.80963318e+02,-1.79849946e+00,0.00000000e+00
0.187500,1.69164908e+00,9.79270752e+02,9.80962402e+02,-1.83937442e+00,0.00000000e+00
0.191667,1.76766884e+00,9.79193909e+02,9.80961548e+02,-1.88024938e+00,0.00000000e+00
0.195833,1.84535933e+00,9.79115356e+02,9.80960693e+02,-1.92112434e+00,0.00000000e+00
0.200000,1.92472064e+00,9.79035156e+02,9.80959900e+02,-1.96199930e+00,0.00000000e+00
0.204167,2.00575280e+00,9.78953247e+02,9.80958984e+02,-2.00287437e+00,0.00000000e+00
0.208333,2.08845568e+00,9.78869751e+02,9.80958191e+02,-2.04374933e+00,0.00000000e+00
0.212500,2.17282915e+00,9.78784546e+02,9.80957397e+02,-2.08462429e+00,0.00000000e+00
0.216667,2.25887346e+00,9.78697693e+02,9.80956543e+02,-2.12549925e+00,0.00000000e+00
0.220833,2.34658861e+00,9.78609131e+02,9.80955750e+02,-2.16637421e+00,0.00000000e+00
0.225000,2.43597436e+00,9.78518921e+02,9.80954895e+02,-2.20724916e+00,0.00000000e+00
0.229167,2.52703094e+00,9.78427063e+02,9.80954102e+02,-2.24812412e+00,0.00000000e+00
0.233333,2.61975837e+00,9.78333496e+02,9.80953247e+02,-2.28899908e+00,0.00000000e+00
0.237500,2.71415663e+00,9.78238281e+02,9.80952454e+02,-2.32987404e+00,0.00000000e+00
0.241667,2.81022549e+00,9.78141357e+02,9.80951599e+02,-2.37074900e+00,0.00000000e+00
0.245833,2.90796494e+00,9.78042786e+02,9.80950745e+02,-2.41162395e+00,0.00000000e+00
0.250000,3.00737548e+00,9.77942566e+02,9.80949951e+02,-2.45249891e+00,0.00000000e+00
0.254167,3.10845661e+00,9.77840637e+02,9.80949097e+02,-2.49337387e+00,0.00000000e+00
0.258333,3.21120858e+00,9.77737061e+02,9.80948242e+02,-2.53424883e+00,0.00000000e+00
0.262500,3.31563115e+00,9.77631836e+02,9.80947449e+02,-2.57512379e+00,0.00000000e+00
0.266667,3.42172480e+00,9.77524841e+02,9.80946594e+02,-2.61599874e+00,0.00000000e+00
0.270833,3.52948904e+00,9.77416260e+02,9.80945740e+02,-2.65687370e+00,0.00000000e+00
0.275000,3.63892388e+00,9.77306030e+02,9.80944946e+02,-2.69774866e+00,0.00000000e+00
0.279167,3.75002956e+00,9.77194031e+02,9.80944031e+02,-2.73862362e+00,0.00000000e+00
0.283333,3.86280608e+00,9.77080444e+02,9.80943237e+02,-2.77949858e+00,0.00000000e+00
0.287500,3.97725344e+00,9.76965210e+02,9.80942444e+02,-2.82037354e+00,0.00000000e+00
0.291667,4.09337139e+00,9.76848206e+02,9.80941589e+02,-2.86124849e+00,0.00000000e+00
0.295833,4.21116018e+00,9.76729553e+02,9.80940735e+02,-2.90212345e+00,0.00000000e+00
0.300000,4.33061981e+00,9.76609314e+02,9.80939941e+02,-2.94299841e+00,0.00000000e+00
0.304167,4.45175028e+00,9.76487305e+02,9.80939026e+02,-2.98387337e+00,0.00000000e+00
0.308333,4.57455111e+00,9.76363647e+02,9.80938171e+02,-3.02474833e+00,0.00000000e+00
0.312500,4.69902325e+00,9.76238342e+02,9.80937378e+02,-3.06562328e+00,0.00000000e+00
0.316667,4.82516575e+00,9.76111328e+02,9.80936523e+02,-3.10649824e+00,0.00000000e+00
0.320833,4.95297909e+00,9.75982727e+02,9.80935730e+02,-3.14737320e+00,0.00000000e+00
0.325000,5.08246326e+00,9.75852417e+02,9.80934875e+02,-3.18824816e+00,0.00000000e+00
0.329167,5.21361828e+00,9.75720398e+02,9.80934021e+02,-3.22912312e+00,0.00000000e+00
0.333333,5.34644365e+00,9.75586670e+02,9.80933105e+02,-3.26999807e+00,0.00000000e+00
0.337500,5.48094034e+00,9.75451355e+02,9.80932312e+02,-3.31087303e+00,0.00000000e+00
0.341667,5.61710739e+00,9.75314331e+02,9.80931458e+02,-3.35174799e+00,0.00000000e+00
0.345833,5.75494528e+00,9.75175659e+02,9.80930603e+02,-3.39262295e+00,0.00000000e+00
0.350000,5.89445400e+00,9.75035339e+02,9.80929810e+02,-3.43349791e+00,0.00000000e+00
0.354167,6.03563356e+00,9.74893311e+02,9.80928955e+02,-3.47437286e+00,0.00000000e+00
0.358333,6.17848349e+00,9.74749634e+02,9.80928101e+02,-3.51524782e+00,0.00000000e+00
