t,px,py,pz,Lx,Ly,Lz,KE_sys
0.004167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.09999990e+00,0.00000000e+00,1.21450005e+01
0.008333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000038e+00,0.00000000e+00,1.21450005e+01
0.012500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000038e+00,0.00000000e+00,1.21450005e+01
0.016667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000086e+00,0.00000000e+00,1.21450005e+01
0.020833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000086e+00,0.00000000e+00,1.21450005e+01
0.025000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000086e+00,0.00000000e+00,1.21450005e+01
0.029167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000134e+00,0.00000000e+00,1.21450005e+01
0.033333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000134e+00,0.00000000e+00,1.21450005e+01
0.037500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000229e+00,0.00000000e+00,1.21450005e+01
0.041667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000229e+00,0.00000000e+00,1.21450005e+01
0.045833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000229e+00,0.00000000e+00,1.21450005e+01
0.050000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000277e+00,0.00000000e+00,1.21450005e+01
0.054167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000277e+00,0.00000000e+00,1.21450005e+01
0.058333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000324e+00,0.00000000e+00,1.21450005e+01
0.062500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000324e+00,0.00000000e+00,1.21450005e+01
0.066667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000324e+00,0.00000000e+00,1.21450005e+01
0.070833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000372e+00,0.00000000e+00,1.21450005e+01
0.075000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000372e+00,0.00000000e+00,1.21450005e+01
0.079167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000420e+00,0.00000000e+00,1.21450005e+01
0.083333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000420e+00,0.00000000e+00,1.21450005e+01
0.087500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000420e+00,0.00000000e+00,1.21450005e+01
0.091667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000515e+00,0.00000000e+00,1.21450005e+01
0.095833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000515e+00,0.00000000e+00,1.21450005e+01
0.100000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000563e+00,0.00000000e+00,1.21450005e+01
0.104167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000563e+00,0.00000000e+00,1.21450005e+01
0.108333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000610e+00,0.00000000e+00,1.21450005e+01
0.112500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000610e+00,0.00000000e+00,1.21450005e+01
0.116667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000658e+00,0.00000000e+00,1.21450005e+01
0.120833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000658e+00,0.00000000e+00,1.21450005e+01
0.125000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000658e+00,0.00000000e+00,1.21450005e+01
0.129167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000706e+00,0.00000000e+00,1.21450005e+01
0.133333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000706e+00,0.00000000e+00,1.21450005e+01
0.137500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000706e+00,0.00000000e+00,1.21450005e+01
0.141667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000801e+00,0.00000000e+00,1.21450005e+01
0.145833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000801e+00,0.00000000e+00,1.21450005e+01
0.150000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000801e+00,0.00000000e+00,1.21450005e+01
0.154167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000849e+00,0.00000000e+00,1.21450005e+01
0.158333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000849e+00,0.00000000e+00,1.21450005e+01
0.162500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000896e+00,0.00000000e+00,1.21450005e+01
0.166667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000896e+00,0.00000000e+00,1.21450005e+01
0.170833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000896e+00,0.00000000e+00,1.21450005e+01
0.175000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000944e+00,0.00000000e+00,1.21450005e+01
0.179167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000944e+00,0.00000000e+00,1.21450005e+01
0.183333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000992e+00,0.00000000e+00,1.21450005e+01
0.187500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000992e+00,0.00000000e+00,1.21450005e+01
0.191667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000992e+00,0.00000000e+00,1.21450005e+01
0.195833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001087e+00,0.00000000e+00,1.21450005e+01
0.200000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001087e+00,0.00000000e+00,1.21450005e+01
0.204167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001087e+00,0.00000000e+00,1.21450005e+01
0.208333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001135e+00,0.00000000e+00,1.21450005e+01
0.212500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001135e+00,0.00000000e+00,1.21450005e+01
