t,box_y,box_vy,p_body_y,p_grid_y,p_sum_y,KE_box,nodes_inside
0.004167,5.49829721e-01,-4.08750027e-02,-4.08750027e-02,0.00000000e+00,-4.08750027e-02,8.35382903e-04,0
0.008333,5.49489081e-01,-8.17500055e-02,-8.17500055e-02,0.00000000e+00,-8.17500055e-02,3.34153161e-03,0
0.012500,5.48978150e-01,-1.22625008e-01,-1.22625008e-01,0.00000000e+00,-1.22625008e-01,7.51844654e-03,0
0.016667,5.48296928e-01,-1.63500011e-01,-1.63500011e-01,0.00000000e+00,-1.63500011e-01,1.33661265e-02,0
0.020833,5.47445357e-01,-2.04375014e-01,-2.04375014e-01,0.00000000e+00,-2.04375014e-01,2.08845735e-02,0
0.025000,5.46423495e-01,-2.45250016e-01,-2.45250016e-01,0.00000000e+00,-2.45250016e-01,3.00737862e-02,0
0.029167,5.45231283e-01,-2.86125004e-01,-2.86125004e-01,0.00000000e+00,-2.86125004e-01,4.09337580e-02,0
0.033333,5.43868780e-01,-3.27000022e-01,-3.27000022e-01,0.00000000e+00,-3.27000022e-01,5.34645058e-02,0
0.037500,5.42335987e-01,-3.67875040e-01,-3.67875040e-01,0.00000000e+00,-3.67875040e-01,6.76660240e-02,0
0.041667,5.40632844e-01,-4.08750057e-01,-4.08750057e-01,0.00000000e+00,-4.08750057e-01,8.35383013e-02,0
0.045833,5.38759410e-01,-4.49625075e-01,-4.49625075e-01,0.00000000e+00,-4.49625075e-01,1.01081356e-01,0
0.050000,5.36715686e-01,-4.90500093e-01,-4.90500093e-01,0.00000000e+00,-4.90500093e-01,1.20295167e-01,0
0.054167,5.34501612e-01,-5.31375110e-01,-5.31375110e-01,0.00000000e+00,-5.31375110e-01,1.41179755e-01,0
0.058333,5.32117248e-01,-5.72250128e-01,-5.72250128e-01,0.00000000e+00,-5.72250128e-01,1.63735107e-01,0
0.062500,5.29562533e-01,-6.13125145e-01,-6.13125145e-01,0.00000000e+00,-6.13125145e-01,1.87961221e-01,0
0.066667,5.26837528e-01,-6.54000163e-01,-6.54000163e-01,0.00000000e+00,-6.54000163e-01,2.13858113e-01,0
0.070833,5.23942232e-01,-6.94875181e-01,-6.94875181e-01,0.00000000e+00,-6.94875181e-01,2.41425753e-01,0
0.075000,5.20876586e-01,-7.35750198e-01,-7.35750198e-01,0.00000000e+00,-7.35750198e-01,2.70664185e-01,0
0.079167,5.17640650e-01,-7.76625216e-01,-7.76625216e-01,0.00000000e+00,-7.76625216e-01,3.01573366e-01,0
0.083333,5.14234424e-01,-8.17500234e-01,-8.17500234e-01,0.00000000e+00,-8.17500234e-01,3.34153324e-01,0
0.087500,5.10657847e-01,-8.58375251e-01,-8.58375251e-01,0.00000000e+00,-8.58375251e-01,3.68404031e-01,0
0.091667,5.06910980e-01,-8.99250269e-01,-8.99250269e-01,0.00000000e+00,-8.99250269e-01,4.04325515e-01,0
0.095833,5.02993762e-01,-9.40125287e-01,-9.40125287e-01,0.00000000e+00,-9.40125287e-01,4.41917777e-01,0
0.100000,4.98906255e-01,-9.81000304e-01,-9.81000304e-01,0.00000000e+00,-9.81000304e-01,4.81180787e-01,0
0.104167,4.94648427e-01,-1.02187526e+00,-1.02187526e+00,0.00000000e+00,-1.02187526e+00,5.22114515e-01,0
0.108333,4.90220308e-01,-1.06275022e+00,-1.06275022e+00,0.00000000e+00,-1.06275022e+00,5.64719021e-01,0
0.112500,4.85621870e-01,-1.10362518e+00,-1.10362518e+00,0.00000000e+00,-1.10362518e+00,6.08994246e-01,0
0.116667,4.80853111e-01,-1.14450014e+00,-1.14450014e+00,0.00000000e+00,-1.14450014e+00,6.54940307e-01,0
0.120833,4.75914061e-01,-1.18537509e+00,-1.18537509e+00,0.00000000e+00,-1.18537509e+00,7.02557087e-01,0
0.125000,4.70804691e-01,-1.22625005e+00,-1.22625005e+00,0.00000000e+00,-1.22625005e+00,7.51844585e-01,0
0.129167,4.65525001e-01,-1.26712501e+00,-1.26712501e+00,0.00000000e+00,-1.26712501e+00,8.02802920e-01,0
0.133333,4.60074991e-01,-1.30799997e+00,-1.30799997e+00,0.00000000e+00,-1.30799997e+00,8.55431974e-01,0
0.137500,4.54454690e-01,-1.34887493e+00,-1.34887493e+00,0.00000000e+00,-1.34887493e+00,9.09731805e-01,0
0.141667,4.48664069e-01,-1.38974988e+00,-1.38974988e+00,0.00000000e+00,-1.38974988e+00,9.65702355e-01,0
0.145833,4.43629622e-01,-1.20826495e+00,-1.20826495e+00,0.00000000e+00,-1.20826495e+00,7.29952097e-01,16
0.150000,4.39230382e-01,-1.05581760e+00,-1.05581760e+00,0.00000000e+00,-1.05581760e+00,5.57375431e-01,16
0.154167,4.35364693e-01,-9.27761793e-01,-9.27761793e-01,0.00000000e+00,-9.27761793e-01,4.30370986e-01,16
