t,box_y,box_vy,p_body_y,p_grid_y,p_sum_y,KE_box,nodes_inside
0.004167,5.49829721e-01,-4.08750027e-02,-4.08750027e-02,0.00000000e+00,-4.08750027e-02,8.35382903e-04,0
0.008333,5.49489081e-01,-8.17500055e-02,-8.17500055e-02,0.00000000e+00,-8.17500055e-02,3.34153161e-03,16
0.012500,5.49020708e-01,-1.12406261e-01,-1.12406261e-01,0.00000000e+00,-1.12406261e-01,6.31758384e-03,16
0.016667,5.48460066e-01,-1.34546891e-01,-1.34546891e-01,0.00000000e+00,-1.34546891e-01,9.05143283e-03,16
0.020833,5.47834277e-01,-1.50194347e-01,-1.50194347e-01,0.00000000e+00,-1.50194347e-01,1.12791713e-02,16
0.025000,5.47163308e-01,-1.61030486e-01,-1.61030486e-01,0.00000000e+00,-1.61030486e-01,1.29654091e-02,16
0.029167,5.46461821e-01,-1.68357477e-01,-1.68357477e-01,0.00000000e+00,-1.68357477e-01,1.41721200e-02,16
0.033333,5.45740366e-01,-1.73155874e-01,-1.73155874e-01,0.00000000e+00,-1.73155874e-01,1.49914781e-02,16
0.037500,5.45006394e-01,-1.76153034e-01,-1.76153034e-01,0.00000000e+00,-1.76153034e-01,1.55149456e-02,16
0.041667,5.44265211e-01,-1.77882925e-01,-1.77882925e-01,0.00000000e+00,-1.77882925e-01,1.58211682e-02,16
0.045833,5.43520510e-01,-1.78734273e-01,-1.78734273e-01,0.00000000e+00,-1.78734273e-01,1.59729701e-02,16
0.050000,5.42774737e-01,-1.78987846e-01,-1.78987846e-01,0.00000000e+00,-1.78987846e-01,1.60183236e-02,16
0.054167,5.42029560e-01,-1.78844810e-01,-1.78844810e-01,0.00000000e+00,-1.78844810e-01,1.59927327e-02,16
0.058333,5.41286051e-01,-1.78447947e-01,-1.78447947e-01,0.00000000e+00,-1.78447947e-01,1.59218349e-02,16
0.062500,5.40544808e-01,-1.77897543e-01,-1.77897543e-01,0.00000000e+00,-1.77897543e-01,1.58237685e-02,16
0.066667,5.39806187e-01,-1.77263111e-01,-1.77263111e-01,0.00000000e+00,-1.77263111e-01,1.57111045e-02,16
0.070833,5.39070368e-01,-1.76592067e-01,-1.76592067e-01,0.00000000e+00,-1.76592067e-01,1.55923795e-02,16
