t,angle_deg,KE,PE,E_total
0.004167,-9.75778233e-03,8.35313345e-04,-1.67069631e-03,-8.35382962e-04
0.008333,-1.96152460e-02,8.64770322e-04,-3.35845980e-03,-2.49368954e-03
0.012500,-2.95524485e-02,9.06177680e-04,-5.05987648e-03,-4.15369868e-03
0.016667,-3.95534374e-02,9.50722839e-04,-6.77221455e-03,-5.82149159e-03
0.020833,-4.96057048e-02,9.93719092e-04,-8.49333219e-03,-7.49961287e-03
0.025000,-5.96987754e-02,1.03275047e-03,-1.02214366e-02,-9.18868650e-03
0.029167,-6.98244125e-02,1.06695038e-03,-1.19551169e-02,-1.08881667e-02
0.033333,-7.99762607e-02,1.09626586e-03,-1.36932870e-02,-1.25970207e-02
0.037500,-9.01488587e-02,1.12089049e-03,-1.54350074e-02,-1.43141169e-02
0.041667,-1.00338385e-01,1.14145211e-03,-1.71796270e-02,-1.60381757e-02
0.045833,-1.10541470e-01,1.15841115e-03,-1.89265702e-02,-1.77681595e-02
0.050000,-1.20755158e-01,1.17223710e-03,-2.06753258e-02,-1.95030887e-02
0.054167,-1.30977362e-01,1.18351914e-03,-2.24255417e-02,-2.12420225e-02
0.058333,-1.41206518e-01,1.19270384e-03,-2.41769478e-02,-2.29842439e-02
0.062500,-1.51441216e-01,1.20013638e-03,-2.59293038e-02,-2.47291680e-02
0.066667,-1.61680356e-01,1.20612909e-03,-2.76824143e-02,-2.64762845e-02
0.070833,-1.71923086e-01,1.21097185e-03,-2.94361413e-02,-2.82251686e-02
0.075000,-1.82168677e-01,1.21486920e-03,-3.11903581e-02,-2.99754888e-02
0.079167,-1.92416593e-01,1.21801416e-03,-3.29449773e-02,-3.17269638e-02
0.083333,-2.02666238e-01,1.22049602e-03,-3.46998870e-02,-3.34793925e-02
0.087500,-2.12917373e-01,1.22251757e-03,-3.64550538e-02,-3.52325365e-02
0.091667,-2.23169714e-01,1.22414413e-03,-3.82104218e-02,-3.69862765e-02
0.095833,-2.33422920e-01,1.22542679e-03,-3.99659462e-02,-3.87405194e-02
0.100000,-2.43677065e-01,1.22650503e-03,-4.17216197e-02,-4.04951163e-02
0.104167,-2.53931910e-01,1.22735824e-03,-4.34774160e-02,-4.22500595e-02
0.108333,-2.64187098e-01,1.22800074e-03,-4.52332757e-02,-4.40052748e-02
0.112500,-2.74442852e-01,1.22857071e-03,-4.69892286e-02,-4.57606576e-02
0.116667,-2.84699053e-01,1.22903008e-03,-4.87452522e-02,-4.75162230e-02
0.120833,-2.94955283e-01,1.22932112e-03,-5.05012833e-02,-4.92719635e-02
0.125000,-3.05211812e-01,1.22961414e-03,-5.22573628e-02,-5.10277487e-02
0.129167,-3.15468669e-01,1.22988247e-03,-5.40135019e-02,-5.27836196e-02
0.133333,-3.25725704e-01,1.23007118e-03,-5.57696670e-02,-5.45395948e-02
0.137500,-3.35982889e-01,1.23021728e-03,-5.75258546e-02,-5.62956370e-02
0.141667,-3.46240014e-01,1.23029912e-03,-5.92820346e-02,-5.80517352e-02
0.145833,-3.56497377e-01,1.23042846e-03,-6.10382520e-02,-5.98078221e-02
0.150000,-3.66754800e-01,1.23050553e-03,-6.27944767e-02,-6.15639724e-02
0.154167,-3.77012432e-01,1.23060029e-03,-6.45507425e-02,-6.33201450e-02
0.158333,-3.87269944e-01,1.23061123e-03,-6.63069785e-02,-6.50763661e-02
0.162500,-3.97527456e-01,1.23064686e-03,-6.80632219e-02,-6.68325722e-02
0.166667,-4.07785326e-01,1.23075303e-03,-6.98195100e-02,-6.85887560e-02
0.170833,-4.18042868e-01,1.23069796e-03,-7.15757534e-02,-7.03450590e-02
0.175000,-4.28300798e-01,1.23079261e-03,-7.33320564e-02,-7.21012652e-02
0.179167,-4.38558489e-01,1.23076641e-03,-7.50883222e-02,-7.38575533e-02
0.183333,-4.48816419e-01,1.23081438e-03,-7.68446103e-02,-7.56137967e-02
0.187500,-4.59074408e-01,1.23085850e-03,-7.86009282e-02,-7.73700699e-02
0.191667,-4.69332278e-01,1.23082905e-03,-8.03572088e-02,-7.91263804e-02
0.195833,-4.79590386e-01,1.23090355e-03,-8.21135417e-02,-8.08826387e-02
0.200000,-4.89848733e-01,1.23094360e-03,-8.38698968e-02,-8.26389566e-02
0.204167,-5.00106871e-01,1.23090949e-03,-8.56262296e-02,-8.43953192e-02
