t,y1,y2,y3,y1_drift,y2_drift,y3_drift
0.004167,4.99829680e-01,1.49982965e+00,2.49982977e+00,-1.70320272e-04,-1.70350075e-04,-1.70230865e-04
0.008333,4.99659359e-01,1.49965930e+00,2.49948907e+00,-3.40640545e-04,-3.40700150e-04,-5.10931015e-04
0.012500,4.99488562e-01,1.49948823e+00,2.49931812e+00,-5.11437654e-04,-5.11765480e-04,-6.81877136e-04
0.016667,4.99318480e-01,1.49931824e+00,2.49914813e+00,-6.81519508e-04,-6.81757927e-04,-8.51869583e-04
0.020833,4.99148190e-01,1.49914789e+00,2.49897790e+00,-8.51809978e-04,-8.52108002e-04,-1.02210045e-03
0.025000,4.98977870e-01,1.49897754e+00,2.49880767e+00,-1.02213025e-03,-1.02245808e-03,-1.19233131e-03
0.029167,4.98807549e-01,1.49880719e+00,2.49863744e+00,-1.19245052e-03,-1.19280815e-03,-1.36256218e-03
0.033333,4.98637229e-01,1.49863684e+00,2.49846721e+00,-1.36277080e-03,-1.36315823e-03,-1.53279305e-03
0.037500,4.98466909e-01,1.49846649e+00,2.49829698e+00,-1.53309107e-03,-1.53350830e-03,-1.70302391e-03
0.041667,4.98296589e-01,1.49829614e+00,2.49812675e+00,-1.70341134e-03,-1.70385838e-03,-1.87325478e-03
0.045833,4.98126268e-01,1.49812579e+00,2.49795651e+00,-1.87373161e-03,-1.87420845e-03,-2.04348564e-03
0.050000,4.97955948e-01,1.49795544e+00,2.49778628e+00,-2.04405189e-03,-2.04455853e-03,-2.21371651e-03
0.054167,4.97785628e-01,1.49778509e+00,2.49761605e+00,-2.21437216e-03,-2.21490860e-03,-2.38394737e-03
0.058333,4.97615308e-01,1.49761474e+00,2.49744582e+00,-2.38469243e-03,-2.38525867e-03,-2.55417824e-03
0.062500,4.97444987e-01,1.49744439e+00,2.49727559e+00,-2.55501270e-03,-2.55560875e-03,-2.72440910e-03
0.066667,4.97274667e-01,1.49727404e+00,2.49710536e+00,-2.72533298e-03,-2.72595882e-03,-2.89463997e-03
0.070833,4.97104347e-01,1.49710369e+00,2.49693513e+00,-2.89565325e-03,-2.89630890e-03,-3.06487083e-03
0.075000,4.96934026e-01,1.49693334e+00,2.49676490e+00,-3.06597352e-03,-3.06665897e-03,-3.23510170e-03
0.079167,4.96763706e-01,1.49676299e+00,2.49659467e+00,-3.23629379e-03,-3.23700905e-03,-3.40533257e-03
0.083333,4.96593386e-01,1.49659264e+00,2.49642444e+00,-3.40661407e-03,-3.40735912e-03,-3.57556343e-03
0.087500,4.96423066e-01,1.49642229e+00,2.49625421e+00,-3.57693434e-03,-3.57770920e-03,-3.74579430e-03
0.091667,4.96252745e-01,1.49625194e+00,2.49608397e+00,-3.74725461e-03,-3.74805927e-03,-3.91602516e-03
0.095833,4.96082425e-01,1.49608159e+00,2.49591374e+00,-3.91757488e-03,-3.91840935e-03,-4.08625603e-03
