t,box_x,box_y,box_z,box_vy,p_body_y,p_grid_y,p_sum_y,KE,nodes_inside
0.004167,0.000000e+00,5.498297e-01,0.000000e+00,-4.087500e-02,-4.08750027e-02,0.00000000e+00,-4.08750027e-02,8.353829e-04,0
0.008333,0.000000e+00,5.494891e-01,0.000000e+00,-8.175001e-02,-8.17500055e-02,0.00000000e+00,-8.17500055e-02,3.341532e-03,16
0.012500,0.000000e+00,5.489781e-01,0.000000e+00,-1.226250e-01,-1.22625008e-01,0.00000000e+00,-1.22625008e-01,7.518447e-03,16
0.016667,0.000000e+00,5.482969e-01,0.000000e+00,-1.635000e-01,-1.63500011e-01,0.00000000e+00,-1.63500011e-01,1.336613e-02,16
0.020833,0.000000e+00,5.474454e-01,0.000000e+00,-2.043750e-01,-2.04375014e-01,0.00000000e+00,-2.04375014e-01,2.088457e-02,16
0.025000,0.000000e+00,5.464235e-01,0.000000e+00,-2.452500e-01,-2.45250016e-01,0.00000000e+00,-2.45250016e-01,3.007379e-02,16
0.029167,0.000000e+00,5.452313e-01,0.000000e+00,-2.861250e-01,-2.86125004e-01,0.00000000e+00,-2.86125004e-01,4.093376e-02,16
0.033333,0.000000e+00,5.438688e-01,0.000000e+00,-3.270000e-01,-3.27000022e-01,0.00000000e+00,-3.27000022e-01,5.346451e-02,16
0.037500,0.000000e+00,5.423360e-01,0.000000e+00,-3.678750e-01,-3.67875040e-01,0.00000000e+00,-3.67875040e-01,6.766602e-02,16
0.041667,0.000000e+00,5.406328e-01,0.000000e+00,-4.087501e-01,-4.08750057e-01,0.00000000e+00,-4.08750057e-01,8.353830e-02,16
0.045833,0.000000e+00,5.387594e-01,0.000000e+00,-4.496251e-01,-4.49625075e-01,0.00000000e+00,-4.49625075e-01,1.010814e-01,16
0.050000,0.000000e+00,5.367157e-01,0.000000e+00,-4.905001e-01,-4.90500093e-01,0.00000000e+00,-4.90500093e-01,1.202952e-01,16
0.054167,0.000000e+00,5.345016e-01,0.000000e+00,-5.313751e-01,-5.31375110e-01,0.00000000e+00,-5.31375110e-01,1.411798e-01,16
0.058333,0.000000e+00,5.321172e-01,0.000000e+00,-5.722501e-01,-5.72250128e-01,0.00000000e+00,-5.72250128e-01,1.637351e-01,16
0.062500,0.000000e+00,5.295625e-01,0.000000e+00,-6.131251e-01,-6.13125145e-01,0.00000000e+00,-6.13125145e-01,1.879612e-01,16
0.066667,0.000000e+00,5.268375e-01,0.000000e+00,-6.540002e-01,-6.54000163e-01,0.00000000e+00,-6.54000163e-01,2.138581e-01,16
0.070833,0.000000e+00,5.239422e-01,0.000000e+00,-6.948752e-01,-6.94875181e-01,0.00000000e+00,-6.94875181e-01,2.414258e-01,16
0.075000,0.000000e+00,5.208766e-01,0.000000e+00,-7.357502e-01,-7.35750198e-01,0.00000000e+00,-7.35750198e-01,2.706642e-01,16
0.079167,0.000000e+00,5.176407e-01,0.000000e+00,-7.766252e-01,-7.76625216e-01,0.00000000e+00,-7.76625216e-01,3.015734e-01,16
0.083333,0.000000e+00,5.142344e-01,0.000000e+00,-8.175002e-01,-8.17500234e-01,0.00000000e+00,-8.17500234e-01,3.341533e-01,16
0.087500,0.000000e+00,5.106578e-01,0.000000e+00,-8.583753e-01,-8.58375251e-01,0.00000000e+00,-8.58375251e-01,3.684040e-01,16
0.091667,0.000000e+00,5.069110e-01,0.000000e+00,-8.992503e-01,-8.99250269e-01,0.00000000e+00,-8.99250269e-01,4.043255e-01,16
0.095833,0.000000e+00,5.029938e-01,0.000000e+00,-9.401253e-01,-9.40125287e-01,0.00000000e+00,-9.40125287e-01,4.419178e-01,16
0.100000,0.000000e+00,4.989063e-01,0.000000e+00,-9.810003e-01,-9.81000304e-01,0.00000000e+00,-9.81000304e-01,4.811808e-01,16
0.104167,0.000000e+00,4.946484e-01,0.000000e+00,-1.021875e+00,-1.02187526e+00,0.00000000e+00,-1.02187526e+00,5.221145e-01,16
0.108333,0.000000e+00,4.902203e-01,0.000000e+00,-1.062742e+00,-1.06274199e+00,0.00000000e+00,-1.06274199e+00,5.647103e-01,16
0.112500,0.000000e+00,4.856226e-01,0.000000e+00,-1.103447e+00,-1.10344708e+00,0.00000000e+00,-1.10344708e+00,6.087977e-01,16
0.116667,0.000000e+00,4.808572e-01,0.000000e+00,-1.143716e+00,-1.14371634e+00,0.00000000e+00,-1.14371634e+00,6.540436e-01,16
0.120833,0.000000e+00,4.759272e-01,0.000000e+00,-1.183190e+00,-1.18319011e+00,0.00000000e+00,-1.18319011e+00,6.999694e-01,16
0.125000,0.000000e+00,4.708379e-01,0.000000e+00,-1.221430e+00,-1.22142994e+00,0.00000000e+00,-1.22142994e+00,7.459456e-01,16
0.129167,0.000000e+00,4.655966e-01,0.000000e+00,-1.257919e+00,-1.25791931e+00,0.00000000e+00,-1.25791931e+00,7.911805e-01,16
0.133333,0.000000e+00,4.602130e-01,0.000000e+00,-1.292067e+00,-1.29206669e+00,0.00000000e+00,-1.29206669e+00,8.347182e-01,16
0.137500,0.000000e+00,4.546996e-01,0.000000e+00,-1.323211e+00,-1.32321095e+00,0.00000000e+00,-1.32321095e+00,8.754436e-01,16
0.141667,0.000000e+00,4.490720e-01,0.000000e+00,-1.350633e+00,-1.35063303e+00,0.00000000e+00,-1.35063303e+00,9.121048e-01,16
0.145833,0.000000e+00,4.433483e-01,0.000000e+00,-1.373692e+00,-1.37369204e+00,0.00000000e+00,-1.37369204e+00,9.435149e-01,32
0.150000,0.000000e+00,4.375465e-01,0.000000e+00,-1.392418e+00,-1.39241838e+00,0.00000000e+00,-1.39241838e+00,9.694145e-01,32
0.154167,0.000000e+00,4.316864e-01,0.000000e+00,-1.406436e+00,-1.40643561e+00,0.00000000e+00,-1.40643561e+00,9.890305e-01,32
0.158333,0.000000e+00,4.257889e-01,0.000000e+00,-1.415385e+00,-1.41538548e+00,0.00000000e+00,-1.41538548e+00,1.001658e+00,32
0.162500,0.000000e+00,4.198766e-01,0.000000e+00,-1.418952e+00,-1.41895163e+00,0.00000000e+00,-1.41895163e+00,1.006712e+00,32
0.166667,0.000000e+00,4.139730e-01,0.000000e+00,-1.416881e+00,-1.41688073e+00,0.00000000e+00,-1.41688073e+00,1.003775e+00,32
0.170833,0.000000e+00,4.081021e-01,0.000000e+00,-1.409002e+00,-1.40900183e+00,0.00000000e+00,-1.40900183e+00,9.926431e-01,32
0.175000,0.000000e+00,4.022886e-01,0.000000e+00,-1.395243e+00,-1.39524257e+00,0.00000000e+00,-1.39524257e+00,9.733509e-01,32
0.179167,0.000000e+00,3.965568e-01,0.000000e+00,-1.375642e+00,-1.37564230e+00,0.00000000e+00,-1.37564230e+00,9.461958e-01,32
0.183333,0.000000e+00,3.907922e-01,0.000000e+00,-1.383504e+00,-1.38350391e+00,0.00000000e+00,-1.38350391e+00,9.570416e-01,32
0.187500,0.000000e+00,3.850083e-01,0.000000e+00,-1.388116e+00,-1.38811553e+00,0.00000000e+00,-1.38811553e+00,9.634324e-01,32
0.191667,-2.353877e-16,3.792178e-01,0.000000e+00,-1.389723e+00,-1.38972294e+00,0.00000000e+00,-1.38972294e+00,9.656649e-01,32
0.195833,-5.877479e-16,3.734320e-01,0.000000e+00,-1.388591e+00,-1.38859057e+00,0.00000000e+00,-1.38859057e+00,9.640919e-01,32
0.200000,-5.782025e-16,3.676612e-01,0.000000e+00,-1.384998e+00,-1.38499844e+00,0.00000000e+00,-1.38499844e+00,9.591103e-01,32
