t,box_x,box_y,box_z,box_vy,p_body_y,p_grid_y,p_sum_y,KE,nodes_inside
0.004167,0.000000e+00,5.498297e-01,0.000000e+00,-4.087500e-02,-4.08750027e-02,0.00000000e+00,-4.08750027e-02,8.353829e-04,0
0.008333,0.000000e+00,5.494891e-01,0.000000e+00,-8.175001e-02,-8.17500055e-02,0.00000000e+00,-8.17500055e-02,3.341532e-03,16
0.012500,0.000000e+00,5.491484e-01,0.000000e+00,-8.175001e-02,-8.17500055e-02,0.00000000e+00,-8.17500055e-02,3.341532e-03,16
0.016667,-2.575993e-14,5.488646e-01,4.293321e-15,-6.812500e-02,-6.81250021e-02,0.00000000e+00,-6.81250021e-02,2.320508e-03,16
0.020833,-2.736304e-14,5.486233e-01,2.304906e-14,-5.790626e-02,-5.79062589e-02,0.00000000e+00,-5.79062589e-02,1.676567e-03,16
0.025000,-4.437511e-14,5.484048e-01,3.150304e-14,-5.245626e-02,-5.24562560e-02,0.00000000e+00,-5.24562560e-02,1.375829e-03,16
0.029167,5.091519e-14,5.481980e-01,5.598507e-14,-4.961771e-02,-4.96177077e-02,0.00000000e+00,-4.96177077e-02,1.230958e-03,16
0.033333,-1.320745e-14,5.479981e-01,5.297024e-14,-4.796325e-02,-4.79632467e-02,0.00000000e+00,-4.79632467e-02,1.150236e-03,16
0.037500,-7.165981e-14,5.478029e-01,6.116029e-14,-4.687041e-02,-4.68704104e-02,0.00000000e+00,-4.68704104e-02,1.098418e-03,16
0.041667,-1.925937e-13,5.476109e-01,6.365335e-14,-4.608282e-02,-4.60828207e-02,0.00000000e+00,-4.60828207e-02,1.061813e-03,16
0.045833,-3.134046e-13,5.474213e-01,7.189207e-14,-4.548328e-02,-4.54832800e-02,0.00000000e+00,-4.54832800e-02,1.034364e-03,16
0.050000,-4.921305e-13,5.472338e-01,7.431589e-14,-4.500984e-02,-4.50098440e-02,0.00000000e+00,-4.50098440e-02,1.012943e-03,16
0.054167,-8.402288e-13,5.470479e-01,4.750134e-14,-4.462583e-02,-4.46258262e-02,0.00000000e+00,-4.46258262e-02,9.957321e-04,16
0.058333,-1.187989e-12,5.468633e-01,2.659089e-14,-4.430776e-02,-4.43077609e-02,0.00000000e+00,-4.43077609e-02,9.815888e-04,16
0.062500,-1.547233e-12,5.466797e-01,-2.142959e-16,-4.403984e-02,-4.40398380e-02,0.00000000e+00,-4.40398380e-02,9.697537e-04,16
0.066667,-1.918000e-12,5.464972e-01,-5.074188e-14,-4.381099e-02,-4.38109934e-02,0.00000000e+00,-4.38109934e-02,9.597015e-04,16
0.070833,-2.371808e-12,5.463154e-01,-9.526808e-14,-4.361318e-02,-4.36131842e-02,0.00000000e+00,-4.36131842e-02,9.510549e-04,16
0.075000,-2.825178e-12,5.461344e-01,-1.397556e-13,-4.344049e-02,-4.34404872e-02,0.00000000e+00,-4.34404872e-02,9.435380e-04,16
0.079167,-3.152319e-12,5.459540e-01,-1.961846e-13,-4.328837e-02,-4.32883650e-02,0.00000000e+00,-4.32883650e-02,9.369412e-04,16
0.083333,-3.557180e-12,5.457742e-01,-2.405577e-13,-4.315334e-02,-4.31533381e-02,0.00000000e+00,-4.31533381e-02,9.311053e-04,16
0.087500,-3.973677e-12,5.455949e-01,-3.089493e-13,-4.303266e-02,-4.30326648e-02,0.00000000e+00,-4.30326648e-02,9.259051e-04,16
0.091667,-4.401820e-12,5.454161e-01,-4.013757e-13,-4.292418e-02,-4.29241769e-02,0.00000000e+00,-4.29241769e-02,9.212425e-04,16
0.095833,-4.702875e-12,5.452376e-01,-5.057833e-13,-4.282610e-02,-4.28261049e-02,0.00000000e+00,-4.28261049e-02,9.170377e-04,16
0.100000,-5.045905e-12,5.450595e-01,-6.463312e-13,-4.273701e-02,-4.27370071e-02,0.00000000e+00,-4.27370071e-02,9.132259e-04,16
0.104167,-5.461138e-12,5.448818e-01,-8.048870e-13,-4.265571e-02,-4.26557139e-02,0.00000000e+00,-4.26557139e-02,9.097549e-04,16
0.108333,-5.875968e-12,5.447043e-01,-9.572494e-13,-4.258123e-02,-4.25812267e-02,0.00000000e+00,-4.25812267e-02,9.065804e-04,16
0.112500,-6.296449e-12,5.445272e-01,-1.127636e-12,-4.251274e-02,-4.25127409e-02,0.00000000e+00,-4.25127409e-02,9.036665e-04,16
0.116667,-6.777098e-12,5.443503e-01,-1.297868e-12,-4.244955e-02,-4.24495451e-02,0.00000000e+00,-4.24495451e-02,9.009819e-04,16
0.120833,-7.233041e-12,5.441737e-01,-1.492188e-12,-4.239106e-02,-4.23910618e-02,0.00000000e+00,-4.23910618e-02,8.985011e-04,16
0.125000,-7.682481e-12,5.439973e-01,-1.674205e-12,-4.233676e-02,-4.23367582e-02,0.00000000e+00,-4.23367582e-02,8.962005e-04,16
0.129167,-8.107228e-12,5.438211e-01,-1.777222e-12,-4.228623e-02,-4.22862321e-02,0.00000000e+00,-4.22862321e-02,8.940627e-04,16
0.133333,-8.707463e-12,5.436451e-01,-1.910472e-12,-4.223908e-02,-4.22390774e-02,0.00000000e+00,-4.22390774e-02,8.920698e-04,16
0.137500,-9.319255e-12,5.434693e-01,-2.067866e-12,-4.219498e-02,-4.21949774e-02,0.00000000e+00,-4.21949774e-02,8.902081e-04,16
0.141667,-9.930464e-12,5.432936e-01,-2.219051e-12,-4.215363e-02,-4.21536304e-02,0.00000000e+00,-4.21536304e-02,8.884643e-04,16
0.145833,-1.042582e-11,5.431181e-01,-2.357963e-12,-4.211482e-02,-4.21148203e-02,0.00000000e+00,-4.21148203e-02,8.868290e-04,16
0.150000,-1.093283e-11,5.429428e-01,-2.521016e-12,-4.207829e-02,-4.20782864e-02,0.00000000e+00,-4.20782864e-02,8.852911e-04,16
0.154167,-1.141508e-11,5.427676e-01,-2.653589e-12,-4.204385e-02,-4.20438461e-02,0.00000000e+00,-4.20438461e-02,8.838425e-04,16
0.158333,-1.193932e-11,5.425926e-01,-2.822432e-12,-4.201132e-02,-4.20113206e-02,0.00000000e+00,-4.20113206e-02,8.824755e-04,16
0.162500,-1.247519e-11,5.424176e-01,-3.015377e-12,-4.198056e-02,-4.19805646e-02,0.00000000e+00,-4.19805646e-02,8.811839e-04,16
0.166667,-1.297415e-11,5.422428e-01,-3.177832e-12,-4.195143e-02,-4.19514254e-02,0.00000000e+00,-4.19514254e-02,8.799611e-04,16
0.170833,-1.347264e-11,5.420681e-01,-3.285587e-12,-4.192379e-02,-4.19237874e-02,0.00000000e+00,-4.19237874e-02,8.788020e-04,16
0.175000,-1.401911e-11,5.418935e-01,-3.387183e-12,-4.189754e-02,-4.18975353e-02,0.00000000e+00,-4.18975353e-02,8.777017e-04,16
0.179167,-1.459534e-11,5.417191e-01,-3.518974e-12,-4.187257e-02,-4.18725684e-02,0.00000000e+00,-4.18725684e-02,8.766560e-04,16
0.183333,-1.532241e-11,5.415447e-01,-3.668810e-12,-4.184878e-02,-4.18487824e-02,0.00000000e+00,-4.18487824e-02,8.756603e-04,16
0.187500,-1.598219e-11,5.413705e-01,-3.842721e-12,-4.182611e-02,-4.18261141e-02,0.00000000e+00,-4.18261141e-02,8.747119e-04,16
0.191667,-1.664135e-11,5.411963e-01,-3.962014e-12,-4.180447e-02,-4.18044738e-02,0.00000000e+00,-4.18044738e-02,8.738070e-04,16
0.195833,-1.725753e-11,5.410222e-01,-4.093294e-12,-4.178380e-02,-4.17837985e-02,0.00000000e+00,-4.17837985e-02,8.729429e-04,16
