t,box_x,box_y,box_z,box_vy,p_body_y,p_grid_y,p_sum_y,KE,nodes_inside
0.004167,0.000000e+00,5.498297e-01,0.000000e+00,-4.087500e-02,-4.08750027e-02,0.00000000e+00,-4.08750027e-02,8.353829e-04,0
0.008333,0.000000e+00,5.494891e-01,0.000000e+00,-8.175001e-02,-8.17500055e-02,0.00000000e+00,-8.17500055e-02,3.341532e-03,16
0.012500,0.000000e+00,5.491484e-01,0.000000e+00,-8.175001e-02,-8.17500055e-02,0.00000000e+00,-8.17500055e-02,3.341532e-03,16
0.016667,-1.290199e-14,5.488646e-01,2.150332e-15,-6.812500e-02,-6.81250021e-02,0.00000000e+00,-6.81250021e-02,2.320508e-03,16
0.020833,-1.374967e-14,5.486233e-01,1.154909e-14,-5.790626e-02,-5.79062589e-02,0.00000000e+00,-5.79062589e-02,1.676567e-03,16
0.025000,-2.233617e-14,5.484048e-01,1.581880e-14,-5.245626e-02,-5.24562560e-02,0.00000000e+00,-5.24562560e-02,1.375829e-03,16
0.029167,2.524619e-14,5.481980e-01,2.813788e-14,-4.961771e-02,-4.96177077e-02,0.00000000e+00,-4.96177077e-02,1.230958e-03,16
0.033333,-6.895126e-15,5.479981e-01,2.674291e-14,-4.796325e-02,-4.79632467e-02,0.00000000e+00,-4.79632467e-02,1.150236e-03,16
0.037500,-3.624936e-14,5.478029e-01,3.098997e-14,-4.687041e-02,-4.68704104e-02,0.00000000e+00,-4.68704104e-02,1.098418e-03,16
0.041667,-9.695381e-14,5.476109e-01,3.243064e-14,-4.608282e-02,-4.60828207e-02,0.00000000e+00,-4.60828207e-02,1.061813e-03,16
0.045833,-1.577672e-13,5.474213e-01,3.679163e-14,-4.548328e-02,-4.54832800e-02,0.00000000e+00,-4.54832800e-02,1.034364e-03,16
0.050000,-2.477972e-13,5.472338e-01,3.829531e-14,-4.500984e-02,-4.50098440e-02,0.00000000e+00,-4.50098440e-02,1.012943e-03,16
0.054167,-4.229415e-13,5.470479e-01,2.521873e-14,-4.462583e-02,-4.46258262e-02,0.00000000e+00,-4.46258262e-02,9.957321e-04,16
0.058333,-5.985130e-13,5.468633e-01,1.512472e-14,-4.430776e-02,-4.43077609e-02,0.00000000e+00,-4.43077609e-02,9.815888e-04,16
0.062500,-7.805975e-13,5.466797e-01,2.102742e-15,-4.403984e-02,-4.40398380e-02,0.00000000e+00,-4.40398380e-02,9.697537e-04,16
0.066667,-9.693934e-13,5.464972e-01,-2.278320e-14,-4.381099e-02,-4.38109934e-02,0.00000000e+00,-4.38109934e-02,9.597015e-04,16
0.070833,-1.200877e-12,5.463154e-01,-4.469059e-14,-4.361318e-02,-4.36131842e-02,0.00000000e+00,-4.36131842e-02,9.510549e-04,16
0.075000,-1.433527e-12,5.461344e-01,-6.662010e-14,-4.344049e-02,-4.34404872e-02,0.00000000e+00,-4.34404872e-02,9.435380e-04,16
0.079167,-1.604608e-12,5.459540e-01,-9.458675e-14,-4.328837e-02,-4.32883650e-02,0.00000000e+00,-4.32883650e-02,9.369412e-04,16
0.083333,-1.816289e-12,5.457742e-01,-1.166110e-13,-4.315334e-02,-4.31533381e-02,0.00000000e+00,-4.31533381e-02,9.311053e-04,16
0.087500,-2.035731e-12,5.455949e-01,-1.507606e-13,-4.303266e-02,-4.30326648e-02,0.00000000e+00,-4.30326648e-02,9.259051e-04,16
0.091667,-2.263142e-12,5.454161e-01,-1.970849e-13,-4.292418e-02,-4.29241769e-02,0.00000000e+00,-4.29241769e-02,9.212425e-04,16
0.095833,-2.429307e-12,5.452376e-01,-2.496042e-13,-4.282610e-02,-4.28261049e-02,0.00000000e+00,-4.28261049e-02,9.170377e-04,16
0.100000,-2.618924e-12,5.450595e-01,-3.204612e-13,-4.273701e-02,-4.27370071e-02,0.00000000e+00,-4.27370071e-02,9.132259e-04,16
0.104167,-2.847307e-12,5.448818e-01,-4.006615e-13,-4.265571e-02,-4.26557139e-02,0.00000000e+00,-4.26557139e-02,9.097549e-04,16
0.108333,-3.078356e-12,5.447043e-01,-4.781735e-13,-4.258123e-02,-4.25812267e-02,0.00000000e+00,-4.25812267e-02,9.065804e-04,16
0.112500,-3.315300e-12,5.445272e-01,-5.651831e-13,-4.251274e-02,-4.25127409e-02,0.00000000e+00,-4.25127409e-02,9.036665e-04,16
0.116667,-3.585629e-12,5.443503e-01,-6.526781e-13,-4.244955e-02,-4.24495451e-02,0.00000000e+00,-4.24495451e-02,9.009819e-04,16
0.120833,-3.847127e-12,5.441737e-01,-7.528675e-13,-4.239106e-02,-4.23910618e-02,0.00000000e+00,-4.23910618e-02,8.985011e-04,16
0.125000,-4.109113e-12,5.439973e-01,-8.476395e-13,-4.233676e-02,-4.23367582e-02,0.00000000e+00,-4.23367582e-02,8.962005e-04,16
0.129167,-4.362698e-12,5.438211e-01,-9.036912e-13,-4.228623e-02,-4.22862321e-02,0.00000000e+00,-4.22862321e-02,8.940627e-04,16
0.133333,-4.708258e-12,5.436451e-01,-9.757006e-13,-4.223908e-02,-4.22390774e-02,0.00000000e+00,-4.22390774e-02,8.920698e-04,16
0.137500,-5.064121e-12,5.434693e-01,-1.060695e-12,-4.219498e-02,-4.21949774e-02,0.00000000e+00,-4.21949774e-02,8.902081e-04,16
0.141667,-5.424508e-12,5.432936e-01,-1.143565e-12,-4.215363e-02,-4.21536304e-02,0.00000000e+00,-4.21536304e-02,8.884643e-04,16
0.145833,-5.732022e-12,5.431181e-01,-1.221344e-12,-4.211482e-02,-4.21148203e-02,0.00000000e+00,-4.21148203e-02,8.868290e-04,16
0.150000,-6.050664e-12,5.429428e-01,-1.312312e-12,-4.207829e-02,-4.20782864e-02,0.00000000e+00,-4.20782864e-02,8.852911e-04,16
0.154167,-6.362463e-12,5.427676e-01,-1.389220e-12,-4.204385e-02,-4.20438461e-02,0.00000000e+00,-4.20438461e-02,8.838425e-04,16
0.158333,-6.701043e-12,5.425926e-01,-1.485520e-12,-4.201132e-02,-4.20113206e-02,0.00000000e+00,-4.20113206e-02,8.824755e-04,16
0.162500,-7.051480e-12,5.424176e-01,-1.595215e-12,-4.198056e-02,-4.19805646e-02,0.00000000e+00,-4.19805646e-02,8.811839e-04,16
0.166667,-7.389759e-12,5.422428e-01,-1.691085e-12,-4.195143e-02,-4.19514254e-02,0.00000000e+00,-4.19514254e-02,8.799611e-04,16
0.170833,-7.734325e-12,5.420681e-01,-1.761073e-12,-4.192379e-02,-4.19237874e-02,0.00000000e+00,-4.19237874e-02,8.788020e-04,16
0.175000,-8.109682e-12,5.418935e-01,-1.829497e-12,-4.189754e-02,-4.18975353e-02,0.00000000e+00,-4.18975353e-02,8.777017e-04,16
0.179167,-8.506992e-12,5.417191e-01,-1.914595e-12,-4.187257e-02,-4.18725684e-02,0.00000000e+00,-4.18725684e-02,8.766560e-04,16
0.183333,-8.987138e-12,5.415447e-01,-2.010360e-12,-4.184878e-02,-4.18487824e-02,0.00000000e+00,-4.18487824e-02,8.756603e-04,16
0.187500,-9.441381e-12,5.413705e-01,-2.119888e-12,-4.182611e-02,-4.18261141e-02,0.00000000e+00,-4.18261141e-02,8.747119e-04,16
0.191667,-9.903360e-12,5.411963e-01,-2.203887e-12,-4.180447e-02,-4.18044738e-02,0.00000000e+00,-4.18044738e-02,8.738070e-04,16
0.195833,-1.035220e-11,5.410222e-01,-2.295720e-12,-4.178380e-02,-4.17837985e-02,0.00000000e+00,-4.17837985e-02,8.729429e-04,16
