t,box_x,box_y,box_z,box_vy,p_body_y,p_grid_y,p_sum_y,KE,nodes_inside
0.004167,0.000000e+00,5.498297e-01,0.000000e+00,-4.087500e-02,-3.67875040e-01,0.00000000e+00,-3.67875040e-01,7.518446e-03,0
0.008333,0.000000e+00,5.494891e-01,0.000000e+00,-8.175001e-02,-7.35750079e-01,0.00000000e+00,-7.35750079e-01,3.007378e-02,0
0.012500,0.000000e+00,5.489781e-01,0.000000e+00,-1.226250e-01,-1.10362506e+00,0.00000000e+00,-1.10362506e+00,6.766602e-02,0
0.016667,0.000000e+00,5.482969e-01,0.000000e+00,-1.635000e-01,-1.47150016e+00,0.00000000e+00,-1.47150016e+00,1.202951e-01,0
0.020833,0.000000e+00,5.474454e-01,0.000000e+00,-2.043750e-01,-1.83937514e+00,0.00000000e+00,-1.83937514e+00,1.879612e-01,0
0.025000,0.000000e+00,5.464235e-01,0.000000e+00,-2.452500e-01,-2.20725012e+00,0.00000000e+00,-2.20725012e+00,2.706641e-01,0
0.029167,0.000000e+00,5.452313e-01,0.000000e+00,-2.861250e-01,-2.57512498e+00,0.00000000e+00,-2.57512498e+00,3.684038e-01,0
0.033333,0.000000e+00,5.438688e-01,0.000000e+00,-3.270000e-01,-2.94300032e+00,0.00000000e+00,-2.94300032e+00,4.811805e-01,0
0.037500,0.000000e+00,5.423360e-01,0.000000e+00,-3.678750e-01,-3.31087542e+00,0.00000000e+00,-3.31087542e+00,6.089942e-01,0
0.041667,0.000000e+00,5.406328e-01,0.000000e+00,-4.087501e-01,-3.67875051e+00,0.00000000e+00,-3.67875051e+00,7.518447e-01,0
0.045833,0.000000e+00,5.387594e-01,0.000000e+00,-4.496251e-01,-4.04662561e+00,0.00000000e+00,-4.04662561e+00,9.097322e-01,0
0.050000,0.000000e+00,5.367157e-01,0.000000e+00,-4.905001e-01,-4.41450071e+00,0.00000000e+00,-4.41450071e+00,1.082657e+00,0
0.054167,0.000000e+00,5.345016e-01,0.000000e+00,-5.313751e-01,-4.78237581e+00,0.00000000e+00,-4.78237581e+00,1.270618e+00,0
0.058333,0.000000e+00,5.321172e-01,0.000000e+00,-5.722501e-01,-5.15025139e+00,0.00000000e+00,-5.15025139e+00,1.473616e+00,0
0.062500,0.000000e+00,5.295625e-01,0.000000e+00,-6.131251e-01,-5.51812649e+00,0.00000000e+00,-5.51812649e+00,1.691651e+00,0
0.066667,0.000000e+00,5.268375e-01,0.000000e+00,-6.540002e-01,-5.88600159e+00,0.00000000e+00,-5.88600159e+00,1.924723e+00,0
0.070833,0.000000e+00,5.239422e-01,0.000000e+00,-6.948752e-01,-6.25387669e+00,0.00000000e+00,-6.25387669e+00,2.172832e+00,0
0.075000,0.000000e+00,5.208766e-01,0.000000e+00,-7.357502e-01,-6.62175179e+00,0.00000000e+00,-6.62175179e+00,2.435978e+00,0
0.079167,0.000000e+00,5.176407e-01,0.000000e+00,-7.766252e-01,-6.98962688e+00,0.00000000e+00,-6.98962688e+00,2.714160e+00,0
