t,box_x,box_y,box_z,box_vy,p_body_y,p_grid_y,p_sum_y,KE,nodes_inside
0.004167,0.000000e+00,5.498297e-01,0.000000e+00,-4.087500e-02,-3.67875040e-01,0.00000000e+00,-3.67875040e-01,7.518446e-03,0
0.008333,0.000000e+00,5.494891e-01,0.000000e+00,-8.175001e-02,-7.35750079e-01,0.00000000e+00,-7.35750079e-01,3.007378e-02,16
0.012500,0.000000e+00,5.491484e-01,0.000000e+00,-8.175001e-02,-7.35750079e-01,0.00000000e+00,-7.35750079e-01,3.007378e-02,16
0.016667,-6.869313e-14,5.488646e-01,-6.869313e-14,-6.812500e-02,-6.13125026e-01,0.00000000e+00,-6.13125026e-01,2.088457e-02,16
0.020833,-8.318027e-13,5.486233e-01,-6.010647e-14,-5.790627e-02,-5.21156371e-01,0.00000000e+00,-5.21156371e-01,1.508911e-02,16
0.025000,-5.251263e-13,5.484048e-01,-2.159486e-13,-5.245626e-02,-4.72106308e-01,0.00000000e+00,-4.72106308e-01,1.238247e-02,16
0.029167,8.067744e-14,5.481980e-01,-4.571480e-13,-4.961771e-02,-4.46559399e-01,0.00000000e+00,-4.46559399e-01,1.107863e-02,16
0.033333,8.177325e-13,5.479981e-01,-5.222759e-13,-4.796325e-02,-4.31669265e-01,0.00000000e+00,-4.31669265e-01,1.035213e-02,16
0.037500,1.419605e-12,5.478029e-01,-6.769523e-13,-4.687041e-02,-4.21833664e-01,0.00000000e+00,-4.21833664e-01,9.885758e-03,16
0.041667,1.929922e-12,5.476109e-01,-6.495051e-13,-4.608282e-02,-4.14745420e-01,0.00000000e+00,-4.14745420e-01,9.556320e-03,16
0.045833,2.025659e-12,5.474213e-01,-1.082156e-12,-4.548329e-02,-4.09349591e-01,0.00000000e+00,-4.09349591e-01,9.309283e-03,16
0.050000,2.446317e-12,5.472338e-01,-1.189352e-12,-4.500984e-02,-4.05088603e-01,0.00000000e+00,-4.05088603e-01,9.116487e-03,16
0.054167,2.305304e-12,5.470479e-01,-1.062552e-12,-4.462582e-02,-4.01632398e-01,0.00000000e+00,-4.01632398e-01,8.961588e-03,16
0.058333,1.929149e-12,5.468633e-01,-1.124061e-12,-4.430776e-02,-3.98769826e-01,0.00000000e+00,-3.98769826e-01,8.834298e-03,16
0.062500,1.695222e-12,5.466797e-01,-9.963173e-13,-4.403985e-02,-3.96358609e-01,0.00000000e+00,-3.96358609e-01,8.727786e-03,16
0.066667,2.838700e-12,5.464972e-01,-1.058619e-12,-4.381100e-02,-3.94298971e-01,0.00000000e+00,-3.94298971e-01,8.637316e-03,16
0.070833,3.838145e-12,5.463154e-01,-1.216146e-12,-4.361319e-02,-3.92518729e-01,0.00000000e+00,-3.92518729e-01,8.559497e-03,16
0.075000,5.075658e-12,5.461344e-01,-1.230098e-12,-4.344048e-02,-3.90964329e-01,0.00000000e+00,-3.90964329e-01,8.491838e-03,16
0.079167,6.072415e-12,5.459540e-01,-1.435690e-12,-4.328837e-02,-3.89595270e-01,0.00000000e+00,-3.89595270e-01,8.432471e-03,16
0.083333,6.924168e-12,5.457742e-01,-1.785137e-12,-4.315334e-02,-3.88380051e-01,0.00000000e+00,-3.88380051e-01,8.379947e-03,16
0.087500,7.967583e-12,5.455949e-01,-2.422918e-12,-4.303267e-02,-3.87294024e-01,0.00000000e+00,-3.87294024e-01,8.333148e-03,16
0.091667,9.299173e-12,5.454161e-01,-2.819126e-12,-4.292417e-02,-3.86317551e-01,0.00000000e+00,-3.86317551e-01,8.291181e-03,16
0.095833,1.082255e-11,5.452376e-01,-2.587604e-12,-4.282610e-02,-3.85434955e-01,0.00000000e+00,-3.85434955e-01,8.253339e-03,16
0.100000,1.215127e-11,5.450595e-01,-2.501194e-12,-4.273701e-02,-3.84633064e-01,0.00000000e+00,-3.84633064e-01,8.219033e-03,16
0.104167,1.289844e-11,5.448818e-01,-2.173032e-12,-4.265571e-02,-3.83901358e-01,0.00000000e+00,-3.83901358e-01,8.187792e-03,16
0.108333,1.340290e-11,5.447043e-01,-2.038732e-12,-4.258123e-02,-3.83231103e-01,0.00000000e+00,-3.83231103e-01,8.159227e-03,16
0.112500,1.293822e-11,5.445272e-01,-2.049818e-12,-4.251274e-02,-3.82614672e-01,0.00000000e+00,-3.82614672e-01,8.132999e-03,16
0.116667,1.232856e-11,5.443503e-01,-2.157782e-12,-4.244956e-02,-3.82046014e-01,0.00000000e+00,-3.82046014e-01,8.108841e-03,16
0.120833,1.162246e-11,5.441737e-01,-2.411062e-12,-4.239106e-02,-3.81519556e-01,0.00000000e+00,-3.81519556e-01,8.086510e-03,16
0.125000,1.115948e-11,5.439973e-01,-2.518575e-12,-4.233677e-02,-3.81030887e-01,0.00000000e+00,-3.81030887e-01,8.065808e-03,16
0.129167,1.059987e-11,5.438211e-01,-2.722985e-12,-4.228623e-02,-3.80576074e-01,0.00000000e+00,-3.80576074e-01,8.046564e-03,16
0.133333,9.458457e-12,5.436451e-01,-2.830125e-12,-4.223907e-02,-3.80151629e-01,0.00000000e+00,-3.80151629e-01,8.028626e-03,16
0.137500,8.172464e-12,5.434693e-01,-3.034195e-12,-4.219497e-02,-3.79754752e-01,0.00000000e+00,-3.79754752e-01,8.011871e-03,16
0.141667,7.130289e-12,5.432936e-01,-3.043908e-12,-4.215364e-02,-3.79382730e-01,0.00000000e+00,-3.79382730e-01,7.996181e-03,16
0.145833,6.234643e-12,5.431181e-01,-2.859439e-12,-4.211482e-02,-3.79033357e-01,0.00000000e+00,-3.79033357e-01,7.981460e-03,16
0.150000,5.582453e-12,5.429428e-01,-2.480973e-12,-4.207828e-02,-3.78704518e-01,0.00000000e+00,-3.78704518e-01,7.967617e-03,16
0.154167,5.027892e-12,5.427676e-01,-1.957232e-12,-4.204385e-02,-3.78394604e-01,0.00000000e+00,-3.78394604e-01,7.954583e-03,16
0.158333,4.231209e-12,5.425926e-01,-1.628017e-12,-4.201132e-02,-3.78101915e-01,0.00000000e+00,-3.78101915e-01,7.942282e-03,16
0.162500,3.289694e-12,5.424176e-01,-1.541630e-12,-4.198056e-02,-3.77825081e-01,0.00000000e+00,-3.77825081e-01,7.930655e-03,16
0.166667,1.766990e-12,5.422428e-01,-1.988811e-12,-4.195143e-02,-3.77562881e-01,0.00000000e+00,-3.77562881e-01,7.919652e-03,16
0.170833,4.396131e-13,5.420681e-01,-1.805181e-12,-4.192379e-02,-3.77314091e-01,0.00000000e+00,-3.77314091e-01,7.909218e-03,16
0.175000,-9.350497e-13,5.418935e-01,-1.670160e-12,-4.189754e-02,-3.77077848e-01,0.00000000e+00,-3.77077848e-01,7.899317e-03,16
0.179167,-2.550783e-12,5.417191e-01,-1.729071e-12,-4.187257e-02,-3.76853138e-01,0.00000000e+00,-3.76853138e-01,7.889905e-03,16
0.183333,-3.874395e-12,5.415447e-01,-1.545671e-12,-4.184878e-02,-3.76639009e-01,0.00000000e+00,-3.76639009e-01,7.880941e-03,16
0.187500,-5.777936e-12,5.413705e-01,-1.895096e-12,-4.182611e-02,-3.76434982e-01,0.00000000e+00,-3.76434982e-01,7.872405e-03,16
0.191667,-7.437721e-12,5.411963e-01,-2.050539e-12,-4.180447e-02,-3.76240224e-01,0.00000000e+00,-3.76240224e-01,7.864262e-03,16
0.195833,-9.531492e-12,5.410222e-01,-2.254192e-12,-4.178380e-02,-3.76054198e-01,0.00000000e+00,-3.76054198e-01,7.856486e-03,16
0.200000,-1.172010e-11,5.408481e-01,-2.554357e-12,-4.176402e-02,-3.75876218e-01,0.00000000e+00,-3.75876218e-01,7.849052e-03,16
0.204167,-1.395507e-11,5.406742e-01,-2.902558e-12,-4.174509e-02,-3.75705779e-01,0.00000000e+00,-3.75705779e-01,7.841934e-03,16
0.208333,-1.681618e-11,5.405003e-01,-3.443689e-12,-4.172694e-02,-3.75542462e-01,0.00000000e+00,-3.75542462e-01,7.835119e-03,16
0.212500,-2.010936e-11,5.403265e-01,-4.467261e-12,-4.170954e-02,-3.75385851e-01,0.00000000e+00,-3.75385851e-01,7.828586e-03,16
0.216667,-2.378573e-11,5.401528e-01,-5.103686e-12,-4.169284e-02,-3.75235587e-01,0.00000000e+00,-3.75235587e-01,7.822319e-03,16
0.220833,-2.765173e-11,5.399792e-01,-5.257027e-12,-4.167679e-02,-3.75091106e-01,0.00000000e+00,-3.75091106e-01,7.816296e-03,16
0.225000,-3.204462e-11,5.398056e-01,-5.892396e-12,-4.166136e-02,-3.74952197e-01,0.00000000e+00,-3.74952197e-01,7.810508e-03,16
0.229167,-3.628893e-11,5.396321e-01,-6.334373e-12,-4.164651e-02,-3.74818593e-01,0.00000000e+00,-3.74818593e-01,7.804943e-03,16
0.233333,-4.081836e-11,5.394586e-01,-7.016740e-12,-4.163221e-02,-3.74689907e-01,0.00000000e+00,-3.74689907e-01,7.799585e-03,16
0.237500,-4.553619e-11,5.392852e-01,-7.217068e-12,-4.161843e-02,-3.74565870e-01,0.00000000e+00,-3.74565870e-01,7.794421e-03,16
0.241667,-4.919130e-11,5.391119e-01,-7.898266e-12,-4.160515e-02,-3.74446362e-01,0.00000000e+00,-3.74446362e-01,7.789449e-03,16
0.245833,-5.346811e-11,5.389386e-01,-8.386484e-12,-4.159233e-02,-3.74330968e-01,0.00000000e+00,-3.74330968e-01,7.784649e-03,16
0.250000,-5.798124e-11,5.387653e-01,-9.066418e-12,-4.157996e-02,-3.74219626e-01,0.00000000e+00,-3.74219626e-01,7.780018e-03,16
0.254167,-6.234617e-11,5.385921e-01,-9.553611e-12,-4.156800e-02,-3.74112040e-01,0.00000000e+00,-3.74112040e-01,7.775545e-03,16
0.258333,-6.761888e-11,5.384189e-01,-1.013630e-11,-4.155645e-02,-3.74008030e-01,0.00000000e+00,-3.74008030e-01,7.771222e-03,16
0.262500,-7.331837e-11,5.382459e-01,-1.076637e-11,-4.154527e-02,-3.73907447e-01,0.00000000e+00,-3.73907447e-01,7.767044e-03,16
0.266667,-7.997113e-11,5.380728e-01,-1.153960e-11,-4.153445e-02,-3.73810053e-01,0.00000000e+00,-3.73810053e-01,7.762997e-03,16
0.270833,-8.752777e-11,5.378998e-01,-1.240788e-11,-4.152398e-02,-3.73715818e-01,0.00000000e+00,-3.73715818e-01,7.759083e-03,16
0.275000,-9.522103e-11,5.377268e-01,-1.337103e-11,-4.151383e-02,-3.73624504e-01,0.00000000e+00,-3.73624504e-01,7.755293e-03,16
0.279167,-1.033377e-10,5.375539e-01,-1.399846e-11,-4.150400e-02,-3.73536021e-01,0.00000000e+00,-3.73536021e-01,7.751620e-03,16
0.283333,-1.100607e-10,5.373810e-01,-1.481646e-11,-4.149447e-02,-3.73450220e-01,0.00000000e+00,-3.73450220e-01,7.748059e-03,16
0.287500,-1.172552e-10,5.372081e-01,-1.572919e-11,-4.148521e-02,-3.73366922e-01,0.00000000e+00,-3.73366922e-01,7.744603e-03,16
0.291667,-1.249202e-10,5.370353e-01,-1.673649e-11,-4.147624e-02,-3.73286158e-01,0.00000000e+00,-3.73286158e-01,7.741253e-03,16
0.295833,-1.315290e-10,5.368626e-01,-1.821978e-11,-4.146753e-02,-3.73207718e-01,0.00000000e+00,-3.73207718e-01,7.738000e-03,16
0.300000,-1.387035e-10,5.366898e-01,-1.960633e-11,-4.145905e-02,-3.73131484e-01,0.00000000e+00,-3.73131484e-01,7.734839e-03,16
0.304167,-1.464428e-10,5.365171e-01,-2.075344e-11,-4.145083e-02,-3.73057455e-01,0.00000000e+00,-3.73057455e-01,7.731770e-03,16
0.308333,-1.540322e-10,5.363444e-01,-2.170907e-11,-4.144282e-02,-3.72985393e-01,0.00000000e+00,-3.72985393e-01,7.728784e-03,16
0.312500,-1.616622e-10,5.361717e-01,-2.271134e-11,-4.143504e-02,-3.72915357e-01,0.00000000e+00,-3.72915357e-01,7.725881e-03,16
0.316667,-1.689999e-10,5.359991e-01,-2.347503e-11,-4.142747e-02,-3.72847259e-01,0.00000000e+00,-3.72847259e-01,7.723060e-03,16
0.320833,-1.757134e-10,5.358266e-01,-2.447540e-11,-4.142010e-02,-3.72780889e-01,0.00000000e+00,-3.72780889e-01,7.720311e-03,16
0.325000,-1.826580e-10,5.356540e-01,-2.566460e-11,-4.141292e-02,-3.72716308e-01,0.00000000e+00,-3.72716308e-01,7.717636e-03,16
0.329167,-1.893116e-10,5.354815e-01,-2.661558e-11,-4.140594e-02,-3.72653484e-01,0.00000000e+00,-3.72653484e-01,7.715034e-03,16
0.333333,-1.961958e-10,5.353090e-01,-2.775515e-11,-4.139913e-02,-3.72592151e-01,0.00000000e+00,-3.72592151e-01,7.712496e-03,16
0.337500,-2.038785e-10,5.351365e-01,-2.898830e-11,-4.139249e-02,-3.72532368e-01,0.00000000e+00,-3.72532368e-01,7.710021e-03,16
0.341667,-2.116012e-10,5.349641e-01,-2.998374e-11,-4.138602e-02,-3.72474134e-01,0.00000000e+00,-3.72474134e-01,7.707611e-03,16
0.345833,-2.197421e-10,5.347916e-01,-3.107274e-11,-4.137972e-02,-3.72417450e-01,0.00000000e+00,-3.72417450e-01,7.705264e-03,16
0.350000,-2.284422e-10,5.346193e-01,-3.192454e-11,-4.137355e-02,-3.72361958e-01,0.00000000e+00,-3.72361958e-01,7.702968e-03,16
0.354167,-2.376060e-10,5.344469e-01,-3.244515e-11,-4.136755e-02,-3.72307986e-01,0.00000000e+00,-3.72307986e-01,7.700735e-03,16
0.358333,-2.465254e-10,5.342746e-01,-3.305954e-11,-4.136167e-02,-3.72255027e-01,0.00000000e+00,-3.72255027e-01,7.698545e-03,16
0.362500,-2.539758e-10,5.341023e-01,-3.376755e-11,-4.135595e-02,-3.72203588e-01,0.00000000e+00,-3.72203588e-01,7.696416e-03,16
0.366667,-2.616547e-10,5.339299e-01,-3.466318e-11,-4.135036e-02,-3.72153223e-01,0.00000000e+00,-3.72153223e-01,7.694334e-03,16
0.370833,-2.693733e-10,5.337577e-01,-3.565200e-11,-4.134490e-02,-3.72104049e-01,0.00000000e+00,-3.72104049e-01,7.692302e-03,16
0.375000,-2.764736e-10,5.335854e-01,-3.649885e-11,-4.133955e-02,-3.72055948e-01,0.00000000e+00,-3.72055948e-01,7.690313e-03,16
0.379167,-2.838021e-10,5.334132e-01,-3.753272e-11,-4.133433e-02,-3.72009009e-01,0.00000000e+00,-3.72009009e-01,7.688372e-03,16
0.383333,-2.897627e-10,5.332410e-01,-3.875330e-11,-4.132923e-02,-3.71963084e-01,0.00000000e+00,-3.71963084e-01,7.686474e-03,16
