t,box_x,box_y,box_z,box_vy,p_body_y,p_grid_y,p_sum_y,KE,nodes_inside
0.004167,0.000000e+00,5.498297e-01,0.000000e+00,-4.087500e-02,-3.67875040e-01,0.00000000e+00,-3.67875040e-01,7.518446e-03,0
0.008333,0.000000e+00,5.494891e-01,0.000000e+00,-8.175001e-02,-7.35750079e-01,0.00000000e+00,-7.35750079e-01,3.007378e-02,16
0.012500,0.000000e+00,5.491484e-01,0.000000e+00,-8.175001e-02,-7.35750079e-01,0.00000000e+00,-7.35750079e-01,3.007378e-02,16
0.016667,-3.440531e-14,5.488646e-01,-3.440531e-14,-6.812500e-02,-6.13125026e-01,0.00000000e+00,-6.13125026e-01,2.088457e-02,16
0.020833,-4.166246e-13,5.486233e-01,-3.022581e-14,-5.790627e-02,-5.21156371e-01,0.00000000e+00,-5.21156371e-01,1.508911e-02,16
0.025000,-2.643504e-13,5.484048e-01,-1.084105e-13,-5.245626e-02,-4.72106308e-01,0.00000000e+00,-4.72106308e-01,1.238247e-02,16
0.029167,3.741685e-14,5.481980e-01,-2.295566e-13,-4.961771e-02,-4.46559399e-01,0.00000000e+00,-4.46559399e-01,1.107863e-02,16
0.033333,4.051077e-13,5.479981e-01,-2.629877e-13,-4.796325e-02,-4.31669265e-01,0.00000000e+00,-4.31669265e-01,1.035213e-02,16
0.037500,7.057954e-13,5.478029e-01,-3.416003e-13,-4.687041e-02,-4.21833664e-01,0.00000000e+00,-4.21833664e-01,9.885758e-03,16
0.041667,9.615362e-13,5.476109e-01,-3.295553e-13,-4.608282e-02,-4.14745420e-01,0.00000000e+00,-4.14745420e-01,9.556320e-03,16
0.045833,1.010858e-12,5.474213e-01,-5.481855e-13,-4.548329e-02,-4.09349591e-01,0.00000000e+00,-4.09349591e-01,9.309283e-03,16
0.050000,1.223711e-12,5.472338e-01,-6.047785e-13,-4.500984e-02,-4.05088603e-01,0.00000000e+00,-4.05088603e-01,9.116487e-03,16
0.054167,1.156729e-12,5.470479e-01,-5.450185e-13,-4.462582e-02,-4.01632398e-01,0.00000000e+00,-4.01632398e-01,8.961588e-03,16
0.058333,9.729972e-13,5.468633e-01,-5.801014e-13,-4.430776e-02,-3.98769826e-01,0.00000000e+00,-3.98769826e-01,8.834298e-03,16
0.062500,8.610887e-13,5.466797e-01,-5.212012e-13,-4.403985e-02,-3.96358609e-01,0.00000000e+00,-3.96358609e-01,8.727786e-03,16
0.066667,1.439124e-12,5.464972e-01,-5.580103e-13,-4.381100e-02,-3.94298971e-01,0.00000000e+00,-3.94298971e-01,8.637316e-03,16
0.070833,1.946847e-12,5.463154e-01,-6.432068e-13,-4.361319e-02,-3.92518729e-01,0.00000000e+00,-3.92518729e-01,8.559497e-03,16
0.075000,2.575882e-12,5.461344e-01,-6.574120e-13,-4.344048e-02,-3.90964329e-01,0.00000000e+00,-3.90964329e-01,8.491838e-03,16
0.079167,3.087282e-12,5.459540e-01,-7.683440e-13,-4.328837e-02,-3.89595270e-01,0.00000000e+00,-3.89595270e-01,8.432471e-03,16
0.083333,3.529318e-12,5.457742e-01,-9.522868e-13,-4.315334e-02,-3.88380051e-01,0.00000000e+00,-3.88380051e-01,8.379947e-03,16
0.087500,4.070809e-12,5.455949e-01,-1.281788e-12,-4.303267e-02,-3.87294024e-01,0.00000000e+00,-3.87294024e-01,8.333148e-03,16
0.091667,4.760628e-12,5.454161e-01,-1.492094e-12,-4.292417e-02,-3.86317551e-01,0.00000000e+00,-3.86317551e-01,8.291181e-03,16
0.095833,5.551288e-12,5.452376e-01,-1.390036e-12,-4.282610e-02,-3.85434955e-01,0.00000000e+00,-3.85434955e-01,8.253339e-03,16
0.100000,6.250180e-12,5.450595e-01,-1.362013e-12,-4.273701e-02,-3.84633064e-01,0.00000000e+00,-3.84633064e-01,8.219033e-03,16
0.104167,6.664214e-12,5.448818e-01,-1.214461e-12,-4.265571e-02,-3.83901358e-01,0.00000000e+00,-3.83901358e-01,8.187792e-03,16
0.108333,6.963054e-12,5.447043e-01,-1.165142e-12,-4.258123e-02,-3.83231103e-01,0.00000000e+00,-3.83231103e-01,8.159227e-03,16
0.112500,6.783281e-12,5.445272e-01,-1.189840e-12,-4.251274e-02,-3.82614672e-01,0.00000000e+00,-3.82614672e-01,8.132999e-03,16
0.116667,6.536707e-12,5.443503e-01,-1.264367e-12,-4.244956e-02,-3.82046014e-01,0.00000000e+00,-3.82046014e-01,8.108841e-03,16
0.120833,6.247299e-12,5.441737e-01,-1.413074e-12,-4.239106e-02,-3.81519556e-01,0.00000000e+00,-3.81519556e-01,8.086510e-03,16
0.125000,6.084635e-12,5.439973e-01,-1.490486e-12,-4.233677e-02,-3.81030887e-01,0.00000000e+00,-3.81030887e-01,8.065808e-03,16
0.129167,5.878597e-12,5.438211e-01,-1.618045e-12,-4.228623e-02,-3.80576074e-01,0.00000000e+00,-3.80576074e-01,8.046564e-03,16
0.133333,5.386089e-12,5.436451e-01,-1.698733e-12,-4.223907e-02,-3.80151629e-01,0.00000000e+00,-3.80151629e-01,8.028626e-03,16
0.137500,4.825152e-12,5.434693e-01,-1.829761e-12,-4.219497e-02,-3.79754752e-01,0.00000000e+00,-3.79754752e-01,8.011871e-03,16
0.141667,4.389519e-12,5.432936e-01,-1.865507e-12,-4.215364e-02,-3.79382730e-01,0.00000000e+00,-3.79382730e-01,7.996181e-03,16
0.145833,4.030149e-12,5.431181e-01,-1.805992e-12,-4.211482e-02,-3.79033357e-01,0.00000000e+00,-3.79033357e-01,7.981460e-03,16
0.150000,3.795220e-12,5.429428e-01,-1.651154e-12,-4.207828e-02,-3.78704518e-01,0.00000000e+00,-3.78704518e-01,7.967617e-03,16
0.154167,3.611575e-12,5.427676e-01,-1.425134e-12,-4.204385e-02,-3.78394604e-01,0.00000000e+00,-3.78394604e-01,7.954583e-03,16
0.158333,3.308985e-12,5.425926e-01,-1.297700e-12,-4.201132e-02,-3.78101915e-01,0.00000000e+00,-3.78101915e-01,7.942282e-03,16
0.162500,2.935677e-12,5.424176e-01,-1.292981e-12,-4.198056e-02,-3.77825081e-01,0.00000000e+00,-3.77825081e-01,7.930655e-03,16
0.166667,2.272788e-12,5.422428e-01,-1.556567e-12,-4.195143e-02,-3.77562881e-01,0.00000000e+00,-3.77562881e-01,7.919652e-03,16
0.170833,1.707982e-12,5.420681e-01,-1.506202e-12,-4.192379e-02,-3.77314091e-01,0.00000000e+00,-3.77314091e-01,7.909218e-03,16
0.175000,1.119334e-12,5.418935e-01,-1.481553e-12,-4.189754e-02,-3.77077848e-01,0.00000000e+00,-3.77077848e-01,7.899317e-03,16
0.179167,4.092252e-13,5.417191e-01,-1.555324e-12,-4.187257e-02,-3.76853138e-01,0.00000000e+00,-3.76853138e-01,7.889905e-03,16
0.183333,-1.563437e-13,5.415447e-01,-1.509329e-12,-4.184878e-02,-3.76639009e-01,0.00000000e+00,-3.76639009e-01,7.880941e-03,16
0.187500,-1.014258e-12,5.413705e-01,-1.731312e-12,-4.182611e-02,-3.76434982e-01,0.00000000e+00,-3.76434982e-01,7.872405e-03,16
0.191667,-1.753423e-12,5.411963e-01,-1.857956e-12,-4.180447e-02,-3.76240224e-01,0.00000000e+00,-3.76240224e-01,7.864262e-03,16
0.195833,-2.713660e-12,5.410222e-01,-2.010468e-12,-4.178380e-02,-3.76054198e-01,0.00000000e+00,-3.76054198e-01,7.856486e-03,16
0.200000,-3.726386e-12,5.408481e-01,-2.213155e-12,-4.176402e-02,-3.75876218e-01,0.00000000e+00,-3.75876218e-01,7.849052e-03,16
0.204167,-4.768373e-12,5.406742e-01,-2.441953e-12,-4.174509e-02,-3.75705779e-01,0.00000000e+00,-3.75705779e-01,7.841934e-03,16
0.208333,-6.130816e-12,5.405003e-01,-2.769574e-12,-4.172694e-02,-3.75542462e-01,0.00000000e+00,-3.75542462e-01,7.835119e-03,16
0.212500,-7.718177e-12,5.403265e-01,-3.341259e-12,-4.170954e-02,-3.75385851e-01,0.00000000e+00,-3.75385851e-01,7.828586e-03,16
0.216667,-9.507685e-12,5.401528e-01,-3.722521e-12,-4.169284e-02,-3.75235587e-01,0.00000000e+00,-3.75235587e-01,7.822319e-03,16
0.220833,-1.140433e-11,5.399792e-01,-3.865482e-12,-4.167679e-02,-3.75091106e-01,0.00000000e+00,-3.75091106e-01,7.816296e-03,16
0.225000,-1.357875e-11,5.398056e-01,-4.253004e-12,-4.166136e-02,-3.74952197e-01,0.00000000e+00,-3.74952197e-01,7.810508e-03,16
0.229167,-1.569514e-11,5.396321e-01,-4.547600e-12,-4.164651e-02,-3.74818593e-01,0.00000000e+00,-3.74818593e-01,7.804943e-03,16
0.233333,-1.797242e-11,5.394586e-01,-4.966489e-12,-4.163221e-02,-3.74689907e-01,0.00000000e+00,-3.74689907e-01,7.799585e-03,16
0.237500,-2.036440e-11,5.392852e-01,-5.148568e-12,-4.161843e-02,-3.74565870e-01,0.00000000e+00,-3.74565870e-01,7.794421e-03,16
0.241667,-2.224719e-11,5.391119e-01,-5.575622e-12,-4.160515e-02,-3.74446362e-01,0.00000000e+00,-3.74446362e-01,7.789449e-03,16
0.245833,-2.446496e-11,5.389386e-01,-5.910967e-12,-4.159233e-02,-3.74330968e-01,0.00000000e+00,-3.74330968e-01,7.784649e-03,16
0.250000,-2.682709e-11,5.387653e-01,-6.347283e-12,-4.157996e-02,-3.74219626e-01,0.00000000e+00,-3.74219626e-01,7.780018e-03,16
0.254167,-2.914333e-11,5.385921e-01,-6.692584e-12,-4.156800e-02,-3.74112040e-01,0.00000000e+00,-3.74112040e-01,7.775545e-03,16
0.258333,-3.194409e-11,5.384189e-01,-7.091272e-12,-4.155645e-02,-3.74008030e-01,0.00000000e+00,-3.74008030e-01,7.771222e-03,16
0.262500,-3.499148e-11,5.382459e-01,-7.519603e-12,-4.154527e-02,-3.73907447e-01,0.00000000e+00,-3.73907447e-01,7.767044e-03,16
0.266667,-3.855184e-11,5.380728e-01,-8.025839e-12,-4.153445e-02,-3.73810053e-01,0.00000000e+00,-3.73810053e-01,7.762997e-03,16
0.270833,-4.260392e-11,5.378998e-01,-8.586337e-12,-4.152398e-02,-3.73715818e-01,0.00000000e+00,-3.73715818e-01,7.759083e-03,16
0.275000,-4.676766e-11,5.377268e-01,-9.201485e-12,-4.151383e-02,-3.73624504e-01,0.00000000e+00,-3.73624504e-01,7.755293e-03,16
0.279167,-5.119017e-11,5.375539e-01,-9.656282e-12,-4.150400e-02,-3.73536021e-01,0.00000000e+00,-3.73536021e-01,7.751620e-03,16
0.283333,-5.496609e-11,5.373810e-01,-1.021427e-11,-4.149447e-02,-3.73450220e-01,0.00000000e+00,-3.73450220e-01,7.748059e-03,16
0.287500,-5.903123e-11,5.372081e-01,-1.082798e-11,-4.148521e-02,-3.73366922e-01,0.00000000e+00,-3.73366922e-01,7.744603e-03,16
0.291667,-6.338877e-11,5.370353e-01,-1.149781e-11,-4.147624e-02,-3.73286158e-01,0.00000000e+00,-3.73286158e-01,7.741253e-03,16
0.295833,-6.727825e-11,5.368626e-01,-1.241518e-11,-4.146753e-02,-3.73207718e-01,0.00000000e+00,-3.73207718e-01,7.738000e-03,16
0.300000,-7.151408e-11,5.366898e-01,-1.329438e-11,-4.145905e-02,-3.73131484e-01,0.00000000e+00,-3.73131484e-01,7.734839e-03,16
0.304167,-7.609940e-11,5.365171e-01,-1.406460e-11,-4.145083e-02,-3.73057455e-01,0.00000000e+00,-3.73057455e-01,7.731770e-03,16
0.308333,-8.068031e-11,5.363444e-01,-1.475031e-11,-4.144282e-02,-3.72985393e-01,0.00000000e+00,-3.72985393e-01,7.728784e-03,16
0.312500,-8.535560e-11,5.361717e-01,-1.547104e-11,-4.143504e-02,-3.72915357e-01,0.00000000e+00,-3.72915357e-01,7.725881e-03,16
0.316667,-8.996232e-11,5.359991e-01,-1.608455e-11,-4.142747e-02,-3.72847259e-01,0.00000000e+00,-3.72847259e-01,7.723060e-03,16
0.320833,-9.433763e-11,5.358266e-01,-1.682896e-11,-4.142010e-02,-3.72780889e-01,0.00000000e+00,-3.72780889e-01,7.720311e-03,16
0.325000,-9.891234e-11,5.356540e-01,-1.768091e-11,-4.141292e-02,-3.72716308e-01,0.00000000e+00,-3.72716308e-01,7.717636e-03,16
0.329167,-1.034286e-10,5.354815e-01,-1.842736e-11,-4.140594e-02,-3.72653484e-01,0.00000000e+00,-3.72653484e-01,7.715034e-03,16
0.333333,-1.081504e-10,5.353090e-01,-1.928224e-11,-4.139913e-02,-3.72592151e-01,0.00000000e+00,-3.72592151e-01,7.712496e-03,16
0.337500,-1.133652e-10,5.351365e-01,-2.019865e-11,-4.139249e-02,-3.72532368e-01,0.00000000e+00,-3.72532368e-01,7.710021e-03,16
0.341667,-1.186975e-10,5.349641e-01,-2.101143e-11,-4.138602e-02,-3.72474134e-01,0.00000000e+00,-3.72474134e-01,7.707611e-03,16
0.345833,-1.243401e-10,5.347916e-01,-2.188675e-11,-4.137972e-02,-3.72417450e-01,0.00000000e+00,-3.72417450e-01,7.705264e-03,16
0.350000,-1.303676e-10,5.346193e-01,-2.265964e-11,-4.137355e-02,-3.72361958e-01,0.00000000e+00,-3.72361958e-01,7.702968e-03,16
0.354167,-1.367367e-10,5.344469e-01,-2.328337e-11,-4.136755e-02,-3.72307986e-01,0.00000000e+00,-3.72307986e-01,7.700735e-03,16
0.358333,-1.430973e-10,5.342746e-01,-2.397074e-11,-4.136167e-02,-3.72255027e-01,0.00000000e+00,-3.72255027e-01,7.698545e-03,16
0.362500,-1.488407e-10,5.341023e-01,-2.472201e-11,-4.135595e-02,-3.72203588e-01,0.00000000e+00,-3.72203588e-01,7.696416e-03,16
0.366667,-1.548193e-10,5.339299e-01,-2.558464e-11,-4.135036e-02,-3.72153223e-01,0.00000000e+00,-3.72153223e-01,7.694334e-03,16
0.370833,-1.609423e-10,5.337577e-01,-2.651188e-11,-4.134490e-02,-3.72104049e-01,0.00000000e+00,-3.72104049e-01,7.692302e-03,16
0.375000,-1.668840e-10,5.335854e-01,-2.738657e-11,-4.133955e-02,-3.72055948e-01,0.00000000e+00,-3.72055948e-01,7.690313e-03,16
0.379167,-1.730712e-10,5.334132e-01,-2.837373e-11,-4.133433e-02,-3.72009009e-01,0.00000000e+00,-3.72009009e-01,7.688372e-03,16
0.383333,-1.787086e-10,5.332410e-01,-2.947378e-11,-4.132923e-02,-3.71963084e-01,0.00000000e+00,-3.71963084e-01,7.686474e-03,16
